pangomm-2.48 2.56.1-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.2-2
pipewire 1:1.6.3-1
pipewire-alsa 1:1.6.3-1
pipewire-audio 1:1.6.3-1
pipewire-jack 1:1.6.3-1
pipewire-pulse 1:1.6.3-1
pipewire-session-manager 1:1.6.3-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.4-1
playerctl 2.4.1-5
polkit 127-3
polkit-kde-agent 6.6.4-1
polkit-qt6 0.201.1-1
poppler 26.04.0-1
poppler-qt6 26.04.0-1
popt 1.19-2
portaudio 1:19.7.0-4
powertop 2.15-2
pps-tools 1.0.3-2
procps-ng 4.0.6-1
protobuf 34.1-1
psmisc 23.7-2
pugixml 1.15-3
python 3.14.4-1
python-certifi 2026.02.25-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-cryptography 46.0.7-1
python-gpgme 2.0.0-2
python-idna 3.11-2
python-packaging 26.1-1
python-pycparser 3.00-1
python-pynacl 1.6.2-1
python-pyqt5 5.15.11-7
python-pyqt5-sip 12.18.0-1
python-pysocks 1.7.1-12
python-requests 2.33.1-1
python-stem 1.8.3-4
python-urllib3 2.6.3-1
qca-qt6 2.3.10-5
qoi r350.4461cc3-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.18+kde+r109-2
qt5-translations 5.15.18-1
qt6-5compat 6.11.0-1
qt6-base 6.11.0-2
qt6-declarative 6.11.0-4
qt6-multimedia 6.11.0-1
qt6-multimedia-ffmpeg 6.11.0-1
qt6-shadertools 6.11.0-1
qt6-speech 6.11.0-1
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
reflector 2023-5
rhash 1.4.6-1
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-2
rustup 1.29.0-2
sbc 2.2-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.66-1
sdl3 3.4.4-1
seatd 0.9.3-1
seclists 2026.1-1
sed 4.9-3
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
simde 0.8.2-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
smbclient 2:4.24.1-1
snap-pac 3.0.1-3
snapper 0.13.0-3
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.25.0-1
sonnet 6.25.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-17
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.53.0-2
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
syndication 6.25.0-1
syntax-highlighting 6.25.0-1
systemd 260.1-1
systemd-libs 260.1-1
systemd-sysvcompat 260.1-1
taglib 2.2.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.3-1
tinysparql 3.11.1-1
tlp 1.9.1-1
tmux 3.6_a-1
tomlplusplus 3.4.0-2
tor 0.4.9.6-1
torbrowser-launcher 0.3.7-4
torsocks 2.5.0-1
tpm2-tss 4.1.3-1
tree 2.3.2-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
tzdata 2026a-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 73-2
vid.stab 1.1.1-2
vim 9.2.0357-1
vim-runtime 9.2.0357-1
vmaf 3.1.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.341.0-1
vulkan-mesa-implicit-layers 1:26.0.5-1
vulkan-radeon 1:26.0.5-1
waybar 0.15.0-2
wayland 1.24.0-1
